id,linkrun,objid
5437add6-9e4d-4cda-ae88-d7e8fd2a98a1,wsdiff_S82_lon_gt_minus2,3451928
5437add6-9e4d-4cda-ae88-d7e8fd2a98a1,wsdiff_S82_lon_gt_minus2,2465983
5437add6-9e4d-4cda-ae88-d7e8fd2a98a1,wsdiff_S82_lon_gt_minus2,2409160
5437add6-9e4d-4cda-ae88-d7e8fd2a98a1,wsdiff_S82_lon_gt_minus2,3593904
5437add6-9e4d-4cda-ae88-d7e8fd2a98a1,wsdiff_S82_lon_gt_minus2,2606880
5437add6-9e4d-4cda-ae88-d7e8fd2a98a1,wsdiff_S82_lon_gt_minus2,3794566
5437add6-9e4d-4cda-ae88-d7e8fd2a98a1,wsdiff_S82_lon_gt_minus2,3791616
a64b1a6f-9304-41d3-a3c1-5718f0b86f0d,wsdiff_S82_lon_gt_minus2,1520141
a64b1a6f-9304-41d3-a3c1-5718f0b86f0d,wsdiff_S82_lon_gt_minus2,1609769
a64b1a6f-9304-41d3-a3c1-5718f0b86f0d,wsdiff_S82_lon_gt_minus2,3633970
a64b1a6f-9304-41d3-a3c1-5718f0b86f0d,wsdiff_S82_lon_gt_minus2,3709486
a64b1a6f-9304-41d3-a3c1-5718f0b86f0d,wsdiff_S82_lon_gt_minus2,3678324
a64b1a6f-9304-41d3-a3c1-5718f0b86f0d,wsdiff_S82_lon_gt_minus2,3795544
fc7f7e6a-8a49-4175-abaf-09226fdef2bb,wsdiff_S82_lon_gt_minus2,3453045
fc7f7e6a-8a49-4175-abaf-09226fdef2bb,wsdiff_S82_lon_gt_minus2,3804174
fc7f7e6a-8a49-4175-abaf-09226fdef2bb,wsdiff_S82_lon_gt_minus2,3795597
137ef3bd-b31e-439d-bb8c-6a1c144877cd,wsdiff_S82_lon_gt_minus2,3281014
137ef3bd-b31e-439d-bb8c-6a1c144877cd,wsdiff_S82_lon_gt_minus2,2177935
137ef3bd-b31e-439d-bb8c-6a1c144877cd,wsdiff_S82_lon_gt_minus2,2616877
27b174f5-a717-4c52-99d9-fefcc127c179,wsdiff_S82_lon_gt_minus2,3260541
