id,linkrun,chisq,ndof,a,e,i,aop,node,peri_jd,peri_date,epoch_jd,mean_anomaly,period,period_err,a_err,e_err,i_err,aop_err,node_err,peri_err,lat0,lon0,xBary,yBary,zBary,abg_a,abg_b,abg_g,abg_adot,abg_bdot,abg_gdot,abg_a_err,abg_b_err,abg_g_err,abg_adot_err,abg_bdot_err,abg_gdot_err
f5eaf5b0-14e2-4fea-99d4-f345bdaf14ba,wsdiff_S82_lon_gt_minus2,2.73,5,63.445,0.2877,6.4739,11.03,349.453,2456353.12,41333.11886318633,2456565.63,0.41474529287613565,505.358,86.801,7.27,0.0812,0.2877,152.02,0.531,41132.54,0.0236,0.0186,-0.1,0.0236,-0.9964,1.606928742880733e-05,1.732704346062068e-06,0.022626353967215768,0.023866203005270717,0.002652034968239751,2.152641938222648e-05,9.5524381875243387e-07,4.3693876885464171e-07,0.00017171245380667193,0.0010992191939048659,1.2521716053755143e-05,0.014169485642506668
6b4525db-3e3b-4c11-a65d-6e30e42fcca8,wsdiff_S82_lon_gt_minus2,1.04,5,59.369,0.4743,1.1697,191.94,287.413,2485359.42,70339.4152825321,2456565.63,297.91922724116387,457.442,351.906,30.45,0.3636,0.0145,30.78,2.519,15871.71,0.02,0.028,-0.0906,0.02,-0.9973,1.1416654912455563e-05,-4.317273144166793e-07,0.017239788157323063,0.012450487289438235,7.158568463406346e-05,-0.006732630462183219,8.7821570350141229e-07,4.6204001680810033e-07,0.00010736022549146105,0.00066407986606696297,1.2386051458573589e-05,0.0068311745836056419
c5a26de6-ccb2-462f-8b75-b4c78833d38c,wsdiff_S82_lon_gt_minus2,2.02,5,42.808,0.2102,9.7258,351.68,348.382,2452686.13,37666.129302952904,2456577.62,13.703212440331548,280.084,89.355,9.1,0.2786,1.191,255.62,1.601,45329.74,0.039,0.0116,-0.3075,0.0372,-0.9484,1.8903719994548758e-05,3.359316292893532e-06,0.030058844355727442,0.03486358718358573,0.005829796059402652,0.001948140876292386,2.8703886252105823e-06,3.7099151382138071e-07,0.00085858059120813449,0.0048780912073738908,9.661986387352548e-05,0.028052415114390505
97dd39c9-87e1-471d-a99f-a08472ccf638,wsdiff_S82_lon_gt_minus2,0.3,3,40.726,0.1883,1.8233,61.4,256.362,2449159.22,34139.218022052664,2456565.63,28.106046993637879,259.898,167.259,17.47,0.6069,0.0508,299.37,7.012,50282.99,0.032,-0.0295,-0.1477,0.0318,-0.9902,1.8181985294765076e-05,-2.6110582368233896e-07,0.029949561523348683,0.034342298539751154,-0.00022941469411791193,0.0035480662763989496,5.1160538869845138e-06,5.0703051294391871e-07,0.0015780692591330879,0.0096141058737354065,8.6626627755259471e-05,0.032396877712842297
b1f4a638-c285-4df6-9ac0-75fb5b85e5e7,wsdiff_S82_lon_gt_minus2,6.73,11,70.776,0.4462,5.6518,101.18,341.305,2478036.01,63016.01261935383,2456565.65,324.43622635427278,595.424,429.403,34.03,0.4018,0.1167,2.73,0.398,6483.52,0.0321,-0.0049,-0.1236,0.032,-0.9935,1.4218074228339772e-05,1.1891819371458949e-06,0.019016914096410292,0.016711110790339843,0.0015740792259172065,-0.007064809423313738,5.96498481415533e-07,4.1381379355912557e-07,5.9993411960124989e-05,0.00038364808325230907,8.9771166388488045e-06,0.0062634653480145817
1a0629ab-913d-4fea-8c0e-1a029abc64ee,wsdiff_S82_lon_gt_minus2,1.71,5,39.451,0.366,3.547,277.1,354.467,2443636.42,28616.415769792162,2456565.66,51.461790315475319,247.79,169.759,18.02,0.6779,0.2935,15.37,0.838,6775.28,0.0111,0.0778,-0.0413,0.0113,-1.0007,1.6207151048922643e-05,9.25905770649143e-07,0.029561740831751962,0.031148752659789294,0.001896817208861073,0.011586290200150264,1.533876677406034e-06,4.3590751022209147e-07,0.00041269086310560701,0.0026580240999222087,1.1933026409000841e-05,0.021892319824986139
0b80883d-07f8-4020-a79b-90063d7e77f2,wsdiff_S82_lon_gt_minus2,1.99,5,51.752,0.3269,3.864,290.34,325.728,2431956.57,16936.569222422782,2456565.63,65.192000899391374,372.302,264.92,24.55,0.7956,0.1867,12.46,1.823,22884.54,0.0379,-0.0178,-0.1361,0.0377,-0.9916,1.3215925325808753e-05,3.734634764190724e-07,0.020434241923900212,0.017482502901953564,0.0009813320927934829,0.005969277453377607,1.1855128069381116e-06,4.5690438774970113e-07,0.00020729411664627563,0.0012996231403831027,2.2579080722462662e-05,0.015228868329176521
7bbbdc8d-7c78-4032-bf42-47a15b79ae41,wsdiff_S82_lon_gt_minus2,2.55,7,62.486,0.1977,53.1057,1.83,359.321,2456382.22,41362.21797773894,2456576.62,0.3881607141382471,493.945,50.886,4.29,0.0618,3.609,267.96,0.186,88099.69,0.0344,0.0076,-0.2949,0.0329,-0.9529,9.211107032214848e-06,1.149661747329002e-05,0.020333949122132426,0.01186665669259387,0.015800635965138407,-2.606321701695737e-05,1.653672086450963e-06,3.3841876833736244e-07,0.00027601262784863665,0.0015142476301326705,2.9684290982964672e-05,0.015250668081857752
d4da380e-e87b-4bb0-8304-654a98d8d6b2,wsdiff_S82_lon_gt_minus2,3.31,5,68.908,0.4261,6.9612,158.12,185.5,2452798.93,37778.93352814112,2456565.63,6.4945829113494149,572.011,49.605,3.98,0.1039,0.375,88.23,0.228,18321.78,0.0091,0.0206,-0.098,0.0092,-0.9968,1.850559847834611e-05,-2.4423952966256367e-06,0.025566027499249317,0.029880503615004706,-0.0036376396230728674,0.0026940965778529907,1.2770427937848962e-06,5.7511674904307522e-07,0.00024464481619219139,0.0015475481939995421,1.6251988966874665e-05,0.014138974989939903
930c436d-657f-41ca-9891-f2a6ef58715b,wsdiff_S82_lon_gt_minus2,1.37,5,40.698,0.2925,6.4011,295.17,358.629,2446514.14,31494.138331158087,2456576.62,38.224920852684683,259.629,137.21,14.34,0.648,0.3093,73.37,0.051,4352.48,0.0023,-0.0134,-0.3151,0.0023,-0.947,1.806400579615509e-05,1.6341688943384705e-06,0.03095332990241105,0.03555691328046611,0.003979558220331351,0.008186594328480084,7.9779431623050311e-07,4.2656955364036613e-07,0.00023586757910327096,0.0014501894397501629,1.167217932090287e-05,0.023960045160146503
