,objid,id,ra,dec,mag,designation,mpcRA,mpcDec,v,offsetRA,offsetDec,motion_ra,motion_dec,orbit,comment,distance
56,2616877,137ef3bd-b31e-439d-bb8c-6a1c144877cd,23:50:17.12,1:54:57.1,18.2051010132, (48458) Merian          ,23 50 17.2 ,+01 54 57  ,18.2   ,0.0E   ,0.0S    ,13-    , 4+  , 14o  ,None needed at this time.,5.83469423214e-06
57,3146226,14050e49-ce08-4ae8-bae2-3c2602dbfac1,0:11:07.83,1:52:53.3,22.2151985168,(126756) 2002 DS7        ,00 11 13.3 ,+01 54 30  ,18.6   ,1.4E   ,1.6N    ,45-    , 1+  ,  8o  ,None needed at this time.,0.000614695790721
58,3146226,14050e49-ce08-4ae8-bae2-3c2602dbfac1,0:11:07.83,1:52:53.3,22.2151985168,         2013 RO36       ,00 11 06.9 ,+01 56 52  ,20.5   ,0.2W   ,4.0N    ,35-    , 5-  , 21d  ,Leave for survey recovery.,0.00115922261528
59,3228361,14050e49-ce08-4ae8-bae2-3c2602dbfac1,0:11:07.83,1:52:53.3,21.7370986938,(126756) 2002 DS7        ,00 11 13.2 ,+01 54 30  ,18.6   ,1.4E   ,1.6N    ,45-    , 1+  ,  8o  ,None needed at this time.,0.00061002004295
60,3228361,14050e49-ce08-4ae8-bae2-3c2602dbfac1,0:11:07.83,1:52:53.3,21.7370986938,         2013 RO36       ,00 11 06.8 ,+01 56 52  ,20.5   ,0.3W   ,4.0N    ,35-    , 5-  , 21d  ,Leave for survey recovery.,0.00115966911651
61,3801139,14050e49-ce08-4ae8-bae2-3c2602dbfac1,0:09:23.08,1:41:28.5,22.4312992096,(370788) 2004 TM27       ,00 09 26.9 ,+01 40 41  ,20.9   ,1.0E   ,0.8S    ,12-    , 0+  ,  7o  ,None needed at this time.,0.000360745111777
62,3801139,14050e49-ce08-4ae8-bae2-3c2602dbfac1,0:09:23.08,1:41:28.5,22.4312992096,(433378) 2013 SZ56       ,00 09 12.9 ,+01 39 32  ,20.6   ,2.5W   ,1.9S    ,19-    ,37+  ,  5o  ,None needed at this time.,0.000930913162227
63,3103272,153fc1c9-48cf-4280-939b-03a9d3efe749,0:04:29.09,1:41:19.2,23.2838993073,         2000 GV128      ,00 04 41.7 ,+01 38 12  ,22.9   ,3.2E   ,3.1S    ,32-    ,16-  , 15d  ,Leave for survey recovery.,0.00128992731726
64,3117088,153fc1c9-48cf-4280-939b-03a9d3efe749,0:04:29.09,1:41:19.2,22.9547996521,         2000 GV128      ,00 04 41.6 ,+01 38 12  ,22.9   ,3.1E   ,3.1S    ,32-    ,16-  , 15d  ,Leave for survey recovery.,0.0012847719504
65,3359960,153fc1c9-48cf-4280-939b-03a9d3efe749,0:03:37.05,1:34:26.2,22.6050987244, (78966) 2003 SO275      ,00 03 47.0 ,+01 32 03  ,19.8   ,2.5E   ,2.4S    ,24-    ,11-  , 12o  ,None needed at this time.,0.00100258505699
66,3766733,153fc1c9-48cf-4280-939b-03a9d3efe749,0:03:36.85,1:34:24.7,22.2356987, (78966) 2003 SO275      ,00 03 44.8 ,+01 31 48  ,19.8   ,2.0E   ,2.6S    ,24-    ,11-  , 12o  ,None needed at this time.,0.000954541670566
67,3805919,153fc1c9-48cf-4280-939b-03a9d3efe749,0:02:42.70,1:27:01.0,23.3564987183,-------------------------,-----------,-----------,-------,-------,--------,-------,-----,------,--------------------------------------,0.0
